X,Y,Labor
-248,268,15600.0
207,-82,15600.0
232,-32,15522.0
-318,128,15054.0
-246,268,14898.0
212,88,14820.0
114,-159,14664.0
-13,278,14586.0
-91,151,14586.0
202,-72,14508.0
302,-92,14508.0
209,-82,14508.0
-8,-172,14430.0
-11,-169,14430.0
239,-267,14430.0
199,-69,14352.0
-21,291,14196.0
234,-32,14196.0
-245,271,14196.0
-316,8,14118.0
-86,208,14118.0
-5,191,14118.0
199,91,14118.0
-247,268,14118.0
230,-31,14118.0
208,-81,14040.0
208,-82,14040.0
95,-229,14040.0
-5,-169,14040.0
-321,13,14040.0
235,-32,14040.0
-322,14,14040.0
238,-266,13962.0
-313,138,13962.0
-319,13,13962.0
233,-32,13962.0
207,-81,13884.0
-311,11,13884.0
199,-67,13884.0
-297,4,13884.0
-13,-162,13884.0
198,-66,13884.0
-4,-169,13884.0
-248,269,13884.0
123,-166,13884.0
239,-268,13884.0
-161,13,13884.0
-37,292,13884.0
199,-68,13884.0
-29,279,13806.0
216,89,13806.0
-309,4,13806.0
202,-71,13806.0
-10,-171,13806.0
207,-83,13806.0
204,-70,13806.0
204,-72,13728.0
92,-232,13728.0
-39,293,13728.0
4,181,13728.0
119,-162,13728.0
-42,294,13728.0
-89,213,13728.0
-246,270,13728.0
-11,-162,13728.0
120,-162,13728.0
124,-167,13728.0
239,-269,13728.0
210,-82,13728.0
-249,268,13728.0
-308,8,13728.0
7,178,13650.0
113,-172,13650.0
304,-92,13650.0
-16,283,13650.0
-1,183,13650.0
124,-166,13650.0
227,-31,13650.0
31,-40,13650.0
310,-79,13650.0
-299,4,13650.0
-311,133,13650.0
-249,270,13650.0
233,-33,13650.0
-296,3,13572.0
149,31,13572.0
190,101,13572.0
225,-30,13572.0
208,-76,13572.0
-6,-172,13572.0
125,-166,13572.0
261,-281,13572.0
-4,189,13572.0
-309,133,13572.0
-20,289,13572.0
-10,-162,13572.0
-251,271,13572.0
9,-174,13572.0
-9,-161,13494.0
114,-172,13494.0
-92,154,13494.0
-92,153,13494.0
238,-267,13494.0
-88,208,13494.0
-11,-171,13494.0
-1,191,13494.0
-2,184,13494.0
-85,208,13494.0
-10,-158,13494.0
-16,281,13494.0
-91,153,13494.0
-315,8,13494.0
203,-68,13494.0
207,-80,13416.0
-148,-1,13416.0
2,188,13416.0
232,-31,13416.0
200,-71,13416.0
226,-31,13416.0
124,-168,13416.0
119,-160,13416.0
-1,186,13416.0
-8,-161,13416.0
-317,12,13416.0
164,21,13416.0
-25,291,13416.0
-1,-269,13416.0
7,-171,13416.0
-162,14,13416.0
-314,138,13416.0
-38,292,13416.0
-308,128,13338.0
-158,-52,13338.0
249,-269,13338.0
-26,281,13338.0
-3,189,13338.0
-245,268,13338.0
262,-281,13338.0
211,-81,13338.0
-75,211,13338.0
-15,-160,13338.0
-30,280,13338.0
196,94,13338.0
-318,129,13260.0
-181,71,13260.0
-311,138,13260.0
-233,258,13260.0
194,103,13260.0
214,88,13260.0
236,-34,13260.0
-17,-156,13260.0
-306,8,13260.0
-18,288,13260.0
252,-272,13260.0
-247,272,13260.0
245,-269,13260.0
31,-41,13260.0
190,98,13260.0
4,-279,13260.0
5,180,13260.0
-314,8,13260.0
203,-72,13260.0
-5,-172,13260.0
-316,10,13260.0
120,-159,13260.0
-41,293,13260.0
-309,136,13260.0
146,29,13182.0
-146,1,13182.0
117,-162,13182.0
-86,213,13182.0
201,-70,13182.0
241,-267,13182.0
-306,128,13182.0
125,-169,13182.0
-298,8,13182.0
-134,9,13182.0
-231,266,13182.0
-10,-160,13182.0
32,-37,13182.0
-312,134,13182.0
-92,151,13182.0
-171,-49,13182.0
-84,209,13182.0
-31,291,13182.0
-5,188,13182.0
307,-82,13182.0
-17,284,13182.0
212,89,13182.0
-315,7,13182.0
-5,190,13104.0
121,-164,13104.0
-310,1,13104.0
-321,133,13104.0
-183,78,13104.0
94,-232,13104.0
206,-84,13104.0
-91,214,13104.0
112,-172,13104.0
148,14,13104.0
-297,3,13104.0
-12,-162,13104.0
154,21,13104.0
-149,-1,13104.0
193,104,13104.0
-180,69,13104.0
-23,278,13104.0
-13,276,13104.0
-246,256,13104.0
194,101,13104.0
-307,128,13104.0
303,-92,13104.0
191,99,13104.0
210,90,13104.0
284,-77,13104.0
6,-171,13026.0
213,88,13026.0
215,90,13026.0
-172,-46,13026.0
-89,144,13026.0
-143,-2,13026.0
-90,149,13026.0
-171,-48,13026.0
217,89,13026.0
32,-40,13026.0
158,22,13026.0
-201,78,13026.0
145,30,13026.0
-232,264,13026.0
-12,-167,13026.0
192,-72,13026.0
210,-80,13026.0
209,-80,13026.0
-229,265,13026.0
20,-39,13026.0
-307,134,13026.0
229,-29,13026.0
118,-162,13026.0
-203,78,13026.0
227,-30,13026.0
-6,-159,13026.0
213,87,13026.0
-76,214,13026.0
-76,216,13026.0
-30,41,13026.0
-197,84,12948.0
193,103,12948.0
-9,-164,12948.0
208,-78,12948.0
-87,208,12948.0
-1,184,12948.0
228,-33,12948.0
212,103,12948.0
-91,213,12948.0
-3,-171,12948.0
-308,-1,12948.0
93,-230,12948.0
-141,6,12948.0
-11,278,12948.0
-5,189,12948.0
191,96,12948.0
-310,9,12948.0
169,18,12948.0
211,93,12948.0
82,-232,12948.0
-310,138,12948.0
262,-279,12948.0
-16,-157,12948.0
-13,280,12948.0
-10,278,12948.0
303,-91,12948.0
254,-270,12948.0
-321,131,12948.0
-246,273,12948.0
192,88,12948.0
124,-165,12948.0
111,-232,12870.0
229,-31,12870.0
166,20,12870.0
-318,8,12870.0
-15,-170,12870.0
110,-231,12870.0
-101,151,12870.0
157,27,12870.0
-308,4,12870.0
139,33,12870.0
2,-172,12870.0
-4,-271,12870.0
-87,144,12870.0
-89,208,12870.0
-16,-159,12870.0
168,20,12870.0
-12,-166,12870.0
-320,132,12870.0
-6,-164,12870.0
-12,278,12870.0
-2,185,12870.0
104,-224,12870.0
32,-38,12870.0
100,-159,12870.0
-314,6,12870.0
257,-282,12870.0
-312,138,12870.0
197,98,12870.0
209,-76,12870.0
-305,128,12870.0
243,-268,12870.0
-14,283,12870.0
182,-72,12870.0
317,-91,12870.0
-22,38,12870.0
-14,-160,12870.0
-93,209,12870.0
227,-33,12870.0
144,33,12792.0
-312,2,12792.0
-310,132,12792.0
-308,131,12792.0
9,-269,12792.0
1,185,12792.0
-250,269,12792.0
-305,8,12792.0
-8,188,12792.0
-150,0,12792.0
-13,279,12792.0
158,24,12792.0
232,-272,12792.0
2,180,12792.0
-250,258,12792.0
240,-269,12792.0
