"(X,Y)",Moon Points
"(157, 103)",7
"(-256, 94)",7
"(-121, 44)",7
"(-11, -16)",7
"(-149, 60)",7
"(-202, 239)",7
"(109, -36)",7
"(-201, 281)",7
"(288, -121)",7
"(-24, 30)",7
"(11, 260)",7
"(-154, 190)",7
"(-71, 320)",7
"(226, -50)",7
"(285, -49)",7
"(101, -280)",7
"(-134, 330)",7
"(111, -200)",7
"(-20, -19)",7
"(206, -250)",7
"(139, -296)",7
"(259, 4)",7
"(-270, -39)",7
"(80, -259)",7
"(45, -49)",7
"(246, 29)",7
"(-289, 80)",7
"(174, -309)",7
"(209, -239)",7
"(-214, 10)",7
"(-190, 63)",7
"(35, -9)",7
"(-12, 119)",7
"(-261, 104)",7
"(-159, 280)",7
"(41, -160)",7
"(166, -11)",7
"(180, -201)",6
"(-16, 250)",6
"(304, -130)",6
"(0, 98)",6
"(76, -220)",6
"(-89, 145)",6
"(295, -112)",6
"(-200, 238)",6
"(-30, 118)",6
"(-125, 288)",6
"(-106, 30)",6
"(-255, 105)",6
"(10, -21)",6
"(17, -232)",6
"(265, -12)",6
"(111, -175)",6
"(25, -108)",6
"(-255, 8)",6
"(121, -167)",6
"(-21, 20)",6
"(-246, 30)",6
"(111, -167)",6
"(-180, 238)",6
"(-255, 88)",6
"(7, 8)",6
"(-126, 290)",6
"(-21, 1)",6
"(62, -42)",6
"(135, -52)",6
"(120, -42)",6
"(15, -8)",6
"(-20, 98)",6
"(157, -310)",6
"(-10, 118)",6
"(7, -210)",6
"(-31, 120)",6
"(12, -22)",6
"(255, 8)",6
"(-6, 230)",6
"(-120, 298)",6
"(10, -98)",6
"(7, -12)",6
"(-195, -92)",6
"(-3, -10)",6
"(-201, -100)",6
"(-186, 230)",6
"(-265, 108)",6
"(-4, -280)",6
"(-129, 39)",6
"(140, -302)",6
"(-139, -69)",6
"(294, -110)",6
"(195, 68)",6
"(20, 2)",6
"(5, 9)",6
"(-125, 28)",6
"(2, 20)",6
"(17, -92)",6
"(-24, -20)",6
"(32, 7)",6
"(-105, 288)",6
"(-112, 258)",6
"(-196, -90)",6
"(14, 230)",6
"(-245, 28)",6
"(158, -198)",6
"(-22, 0)",6
"(-186, 234)",6
"(-62, 40)",6
"(-245, 108)",6
"(-11, 120)",6
"(174, 70)",6
"(-4, -11)",6
"(-15, 8)",6
"(-20, -38)",6
"(-9, 19)",6
"(147, -290)",6
"(246, -25)",6
"(119, -40)",6
"(-185, 228)",6
"(104, -30)",6
"(270, -2)",6
"(60, -41)",6
"(-5, 228)",6
"(185, 48)",6
"(287, -78)",6
"(-1, -220)",6
"(194, 70)",6
"(254, 10)",6
"(22, 38)",6
"(264, -6)",6
"(146, -291)",6
"(264, -10)",6
"(274, 10)",6
"(284, -10)",6
"(-19, -40)",6
"(15, -91)",6
"(124, -290)",6
"(-174, -54)",6
"(-116, 310)",6
"(-189, 76)",6
"(-200, -102)",6
"(182, -202)",6
"(-136, 310)",6
"(284, -130)",6
"(-256, 10)",6
"(114, -50)",6
"(-169, 76)",6
"(0, -18)",6
"(-256, 90)",6
"(-135, 48)",6
"(20, 39)",6
"(19, -19)",6
"(-32, 119)",6
"(-3, -230)",6
"(4, 234)",6
"(-106, 290)",6
"(-15, 108)",6
"(18, -20)",6
"(16, -16)",6
"(21, -267)",6
"(-250, 18)",6
"(188, 104)",6
"(5, -108)",6
"(-246, 110)",6
"(21, 0)",6
"(-190, 218)",6
"(22, -290)",6
"(0, -222)",6
"(-250, 98)",6
"(192, -220)",6
"(-16, 110)",6
"(172, -220)",6
"(184, 50)",6
"(-170, 218)",6
"(-61, 41)",6
"(-10, -173)",6
"(16, -10)",6
"(1, -20)",6
"(275, -112)",6
"(0, 238)",6
"(-9, 177)",6
"(-251, 100)",6
"(-147, -12)",6
"(256, -38)",6
"(1, 19)",6
"(-251, 20)",6
"(-8, 20)",6
"(-20, 18)",6
"(171, -221)",6
"(-16, 10)",6
"(-191, -80)",6
"(137, -312)",6
"(-16, 14)",6
"(139, -300)",6
"(191, -221)",6
"(-21, 104)",6
"(-181, -100)",6
"(-211, -80)",6
"(156, -311)",6
"(-199, 85)",6
"(-21, 100)",6
"(-235, 88)",6
"(-1, 100)",6
"(-53, 260)",6
"(179, 64)",6
"(134, -50)",6
"(6, -211)",6
"(104, -230)",6
"(-15, -208)",6
"(81, -230)",6
"(-26, 14)",6
"(212, -90)",6
"(176, -211)",6
"(189, 60)",6
"(306, -100)",6
"(9, 1)",6
"(-210, -82)",6
"(175, 68)",6
"(124, -30)",6
"(-4, -90)",6
"(269, 0)",6
"(-5, -88)",6
"(-266, 110)",6
"(-4, -231)",6
"(4, 250)",6
"(196, -76)",6
"(174, 15)",6
"(205, 48)",6
"(0, -225)",6
"(204, 50)",6
"(-235, 8)",6
"(-8, -2)",6
"(-190, -82)",6
"(274, -110)",6
"(-14, -210)",6
"(26, -110)",6
"(-115, 48)",6
"(20, -47)",6
"(8, 0)",6
"(-107, 29)",6
"(12, 14)",6
"(6, -110)",6
"(-105, 28)",6
"(125, -35)",6
"(125, -32)",6
"(289, -120)",6
"(-236, 90)",6
"(253, 9)",6
"(65, -35)",6
"(-201, 240)",6
"(135, -311)",6
"(-4, 282)",6
"(-116, 50)",6
"(-10, -41)",6
"(193, 69)",6
"(-181, 240)",6
"(225, -16)",6
"(125, -292)",6
"(11, -100)",6
"(290, -122)",6
"(-25, 13)",6
"(-121, 40)",6
"(-299, 60)",6
"(-4, 10)",6
"(20, -265)",6
"(-136, 50)",6
"(-176, -54)",6
"(105, -32)",6
"(-131, 304)",6
"(285, -132)",6
"(-11, -220)",6
"(15, 228)",6
"(-10, -1)",6
"(5, 248)",6
"(275, 8)",6
"(-115, 308)",6
"(-135, 308)",6
"(160, -199)",6
"(5, -11)",6
"(236, -285)",6
"(46, -17)",6
"(115, -52)",6
"(-171, 220)",6
"(190, 58)",6
"(-74, 226)",6
"(-1, 240)",6
"(-80, 155)",6
"(-191, 220)",6
"(-265, 28)",6
"(-120, 38)",6
"(2, 0)",6
"(1, -1)",6
"(-5, 12)",6
"(-180, -102)",6
"(177, -210)",6
"(-10, 187)",6
"(288, -78)",6
"(15, -231)",6
"(76, -225)",6
"(-266, 30)",6
"(-126, 30)",6
"(-15, 248)",6
"(183, 49)",6
"(285, -12)",6
"(-236, 10)",6
"(305, -132)",6
"(-1, -164)",6
"(-121, 300)",6
