X,Y,Labor
323,-216,12168.0
113,-56,11856.0
324,-217,11700.0
322,-215,11700.0
-317,224,11700.0
-77,124,11622.0
-57,264,11622.0
-192,214,11622.0
78,-126,11622.0
153,-256,11466.0
-56,264,11466.0
-97,-156,11388.0
114,-56,11388.0
252,-95,11388.0
113,-55,11388.0
323,-214,11388.0
-57,-96,11310.0
-282,14,11310.0
112,-55,11232.0
253,-96,11232.0
-58,-95,11154.0
28,-266,11154.0
28,-265,11154.0
103,-236,11154.0
-78,125,11154.0
303,-36,11154.0
-67,304,11076.0
-267,264,11076.0
-37,-276,10998.0
303,-35,10998.0
-191,213,10998.0
213,4,10998.0
-283,15,10998.0
-318,225,10998.0
298,-246,10920.0
268,-126,10920.0
323,-217,10920.0
77,-125,10842.0
213,-216,10842.0
-68,305,10842.0
-167,-136,10842.0
-193,214,10842.0
-58,-96,10842.0
-58,265,10764.0
223,-336,10764.0
-193,215,10764.0
-96,-156,10764.0
299,-247,10764.0
288,-306,10686.0
79,-127,10686.0
213,5,10686.0
302,-35,10686.0
238,-146,10686.0
-217,264,10686.0
-96,-157,10608.0
-268,265,10608.0
-302,54,10608.0
-42,-186,10608.0
152,-255,10608.0
178,74,10530.0
27,-225,10530.0
-76,123,10530.0
-216,263,10530.0
214,3,10530.0
-223,-66,10530.0
212,5,10530.0
-322,314,10530.0
68,-246,10530.0
287,-306,10530.0
53,204,10452.0
323,-316,10452.0
-147,84,10452.0
-122,-186,10452.0
27,-265,10452.0
-257,304,10452.0
-247,224,10452.0
297,-245,10452.0
114,-57,10452.0
113,-276,10374.0
-242,114,10374.0
-237,-16,10374.0
-168,-135,10374.0
238,-266,10374.0
-56,-97,10374.0
278,-166,10374.0
-287,144,10374.0
78,-124,10374.0
222,-335,10374.0
-222,-66,10374.0
-247,225,10374.0
212,-215,10296.0
102,-235,10296.0
254,-97,10296.0
-316,223,10296.0
123,-336,10296.0
-37,324,10296.0
-27,124,10218.0
-292,-46,10218.0
-248,225,10218.0
237,-145,10218.0
-267,-36,10218.0
-38,-275,10218.0
-218,265,10218.0
-27,-236,10218.0
-217,-116,10218.0
-98,-155,10218.0
-56,263,10218.0
-167,-135,10218.0
287,-305,10218.0
104,-237,10218.0
-192,213,10218.0
-28,-235,10218.0
28,-226,10218.0
38,94,10218.0
112,-275,10218.0
218,-286,10140.0
214,-215,10140.0
67,-245,10140.0
252,-94,10140.0
243,-56,10140.0
-319,224,10140.0
68,-245,10140.0
33,-136,10140.0
-102,234,10140.0
-302,55,10140.0
-268,-36,10062.0
-284,15,10062.0
-6,-36,10062.0
-281,13,10062.0
-284,16,10062.0
-77,123,10062.0
267,-125,10062.0
-28,125,10062.0
183,-236,10062.0
143,-316,10062.0
-323,315,10062.0
184,-237,9984.0
321,-214,9984.0
111,-55,9984.0
-317,223,9984.0
-97,-157,9984.0
-103,235,9984.0
123,-335,9984.0
-7,-36,9984.0
-102,235,9984.0
-258,305,9984.0
-303,55,9984.0
122,-335,9984.0
188,-306,9984.0
251,-95,9984.0
251,-94,9984.0
-172,254,9984.0
154,-257,9906.0
-319,226,9906.0
304,-37,9906.0
-54,-97,9906.0
78,-127,9906.0
-217,4,9906.0
113,-57,9906.0
-268,-35,9906.0
-36,-277,9906.0
-242,116,9906.0
322,-315,9906.0
-223,-65,9906.0
-319,225,9906.0
52,205,9906.0
143,-315,9906.0
208,114,9906.0
-238,-15,9906.0
-123,-185,9828.0
111,-54,9828.0
-66,303,9828.0
182,-235,9828.0
-218,-115,9828.0
326,-217,9828.0
-172,255,9828.0
187,-305,9828.0
224,-337,9828.0
-257,305,9828.0
324,-317,9828.0
-293,-45,9750.0
-37,-277,9750.0
300,-248,9750.0
-79,126,9750.0
-288,145,9750.0
303,-37,9750.0
239,-266,9750.0
-316,225,9750.0
237,-265,9750.0
269,-126,9750.0
-222,154,9750.0
214,-217,9750.0
-187,-56,9750.0
-218,4,9750.0
-148,85,9750.0
301,-247,9672.0
302,-37,9672.0
-43,-185,9672.0
253,-97,9672.0
-121,-187,9672.0
73,-76,9672.0
-187,324,9672.0
177,75,9672.0
-187,325,9672.0
258,-246,9672.0
228,54,9672.0
321,-215,9672.0
298,-247,9672.0
-236,-17,9594.0
213,3,9594.0
322,-217,9594.0
217,-285,9594.0
184,-235,9594.0
138,114,9594.0
138,115,9594.0
-317,264,9594.0
142,-315,9594.0
-166,-137,9594.0
-218,-116,9594.0
218,-285,9594.0
239,-147,9594.0
-72,14,9594.0
48,274,9594.0
-266,-37,9594.0
-193,213,9594.0
-321,313,9594.0
-241,115,9594.0
-4,-37,9594.0
26,-224,9594.0
-286,143,9594.0
286,-305,9594.0
26,-225,9594.0
29,-267,9594.0
124,-335,9516.0
-256,303,9516.0
-38,325,9516.0
37,95,9516.0
228,-186,9516.0
-5,-37,9516.0
-266,263,9516.0
-36,323,9516.0
-136,304,9516.0
-67,303,9516.0
269,-127,9516.0
-297,324,9516.0
133,-116,9516.0
267,-127,9516.0
-322,134,9516.0
277,-165,9516.0
-337,84,9438.0
-282,13,9438.0
286,-304,9438.0
-217,263,9438.0
28,-267,9438.0
207,114,9438.0
-218,5,9438.0
-98,-154,9438.0
-322,313,9438.0
-79,125,9438.0
-109,279,9438.0
301,-35,9438.0
-167,-137,9438.0
-338,84,9438.0
179,73,9438.0
73,-75,9438.0
-57,263,9438.0
289,-305,9438.0
-57,-97,9438.0
239,-267,9438.0
-287,143,9438.0
279,-167,9438.0
289,-307,9438.0
209,113,9438.0
288,-307,9438.0
-6,-35,9438.0
-173,255,9360.0
207,115,9360.0
229,-187,9360.0
-323,135,9360.0
-247,64,9360.0
-6,-37,9360.0
244,-57,9360.0
112,-57,9360.0
-8,-35,9360.0
-269,265,9360.0
54,203,9360.0
227,55,9360.0
-267,263,9360.0
219,-287,9360.0
229,55,9360.0
-301,53,9360.0
-137,304,9360.0
26,-265,9360.0
-22,-86,9282.0
-243,115,9282.0
-222,-67,9282.0
-218,263,9282.0
144,-317,9282.0
103,-237,9282.0
-202,294,9282.0
153,-257,9282.0
-291,-47,9282.0
-137,264,9282.0
213,-217,9282.0
114,-277,9282.0
-39,-274,9282.0
-110,280,9282.0
221,-334,9282.0
-111,280,9282.0
-285,143,9282.0
216,3,9282.0
-59,-95,9282.0
242,-55,9282.0
-39,-275,9282.0
301,-34,9282.0
324,-214,9282.0
-59,-94,9282.0
69,-247,9282.0
-194,216,9204.0
-54,263,9204.0
-38,326,9204.0
-188,324,9204.0
-41,-187,9204.0
-298,325,9204.0
-188,325,9204.0
308,-146,9204.0
53,203,9204.0
-269,266,9204.0
-146,83,9204.0
-43,54,9204.0
328,-66,9204.0
278,-164,9204.0
238,-26,9126.0
-279,13,9126.0
238,-267,9126.0
-75,125,9126.0
221,-335,9126.0
-241,113,9126.0
-318,265,9126.0
273,44,9126.0
-169,-135,9126.0
-221,-67,9126.0
326,-317,9126.0
216,2,9126.0
-99,-156,9126.0
-74,123,9126.0
-223,155,9126.0
155,-257,9126.0
268,-6,9126.0
-79,127,9126.0
43,-336,9126.0
137,114,9126.0
-186,-56,9126.0
-73,15,9126.0
-28,126,9126.0
-246,65,9126.0
-246,223,9048.0
-138,305,9048.0
181,-235,9048.0
134,-116,9048.0
26,-264,9048.0
-301,55,9048.0
-42,54,9048.0
154,-254,9048.0
-23,-85,9048.0
297,-247,9048.0
268,-127,9048.0
246,-57,9048.0
328,-65,9048.0
-185,323,9048.0
-186,323,9048.0
296,-244,9048.0
-248,65,9048.0
269,-7,8970.0
39,93,8970.0
49,274,8970.0
52,206,8970.0
-268,-34,8970.0
-267,-37,8970.0
53,206,8970.0
178,73,8970.0
-191,216,8970.0
-187,-55,8970.0
-323,316,8970.0
239,-26,8970.0
243,-54,8970.0
81,-127,8970.0
212,3,8970.0
183,-237,8970.0
-242,113,8970.0
-69,305,8970.0
-237,-17,8970.0
-216,-117,8970.0
-186,-57,8970.0
58,-306,8970.0
-56,266,8970.0
-188,-56,8970.0
227,-185,8970.0
-26,123,8970.0
268,-5,8970.0
-249,226,8970.0
146,-291,8892.0
-245,223,8892.0
223,-337,8892.0
323,-317,8892.0
-265,263,8892.0
8,294,8892.0
-292,-44,8892.0
-194,215,8892.0
-203,295,8892.0
66,-244,8892.0
309,-146,8892.0
53,45,8892.0
101,-234,8892.0
-101,233,8892.0
124,-337,8892.0
189,-305,8892.0
252,-97,8892.0
-59,266,8892.0
83,164,8892.0
-43,-184,8892.0
296,-245,8892.0
-174,254,8892.0
34,-137,8892.0
-302,53,8892.0
-36,325,8892.0
-136,303,8892.0
328,-126,8892.0
-318,223,8892.0
286,-306,8892.0
-37,323,8892.0
-78,123,8892.0
-323,134,8892.0
-235,-17,8814.0
31,-267,8814.0
86,-31,8814.0
-224,155,8814.0
214,2,8814.0
267,-5,8814.0
-38,-277,8814.0
137,115,8814.0
236,-145,8814.0
-224,-65,8814.0
236,-144,8814.0
145,-316,8814.0
-316,263,8814.0
258,-326,8814.0
-188,-55,8814.0
246,-58,8814.0
257,-245,8814.0
-26,-237,8814.0
-216,3,8814.0
-288,146,8814.0
-23,-86,8814.0
72,-75,8814.0
113,-277,8814.0
-269,-35,8814.0
-269,-34,8814.0
3,204,8814.0
-239,113,8814.0
-43,55,8814.0
-217,3,8814.0
272,45,8814.0
144,-290,8814.0
-287,84,8814.0
101,-235,8736.0
146,-292,8736.0
153,-252,8736.0
77,-127,8736.0
-65,302,8736.0
328,-125,8736.0
-281,16,8736.0
-42,-187,8736.0
-303,53,8736.0
224,-334,8736.0
-111,-226,8736.0
-202,295,8736.0
-224,156,8736.0
-189,213,8736.0
-58,-97,8736.0
52,203,8736.0
93,-296,8736.0
179,75,8736.0
287,-307,8736.0
254,-98,8736.0
80,-125,8658.0
73,-74,8658.0
-219,4,8658.0
-214,263,8658.0
32,-135,8658.0
23,244,8658.0
23,245,8658.0
211,5,8658.0
-138,264,8658.0
-165,-137,8658.0
-69,306,8658.0
236,-264,8658.0
-99,-155,8658.0
-221,155,8658.0
-268,263,8658.0
84,-30,8658.0
-72,16,8658.0
-169,-134,8658.0
58,-305,8658.0
-98,-157,8658.0
29,-227,8658.0
-323,313,8658.0
24,244,8658.0
238,-147,8658.0
231,-187,8658.0
240,-146,8658.0
211,6,8658.0
76,-124,8658.0
-27,-237,8658.0
-336,83,8658.0
-29,-234,8658.0
-29,-235,8658.0
-53,-99,8658.0
-219,265,8658.0
-124,-184,8580.0
-66,302,8580.0
-38,323,8580.0
-257,303,8580.0
189,-307,8580.0
133,-114,8580.0
224,-338,8580.0
92,-295,8580.0
79,-128,8580.0
-122,-187,8580.0
329,-126,8580.0
-223,-67,8580.0
254,-94,8580.0
-137,303,8580.0
227,56,8580.0
-112,-226,8580.0
-59,265,8580.0
33,-137,8580.0
156,-257,8580.0
28,-6,8580.0
218,-287,8580.0
145,-290,8580.0
327,-65,8580.0
-74,122,8580.0
307,-145,8580.0
181,-234,8580.0
154,-252,8580.0
-314,223,8502.0
151,-256,8502.0
-324,315,8502.0
-224,-64,8502.0
47,273,8502.0
-76,126,8502.0
49,273,8502.0
114,-275,8502.0
-25,-237,8502.0
256,-245,8502.0
147,-291,8502.0
-318,266,8502.0
85,-30,8502.0
68,-247,8502.0
139,116,8502.0
-99,-154,8502.0
274,45,8502.0
-219,5,8502.0
111,-274,8502.0
111,-275,8502.0
-292,-47,8502.0
2,205,8502.0
-249,225,8502.0
-69,307,8502.0
208,113,8502.0
-284,143,8502.0
38,93,8502.0
-190,215,8502.0
76,-125,8502.0
237,-147,8502.0
236,-265,8502.0
-217,-112,8502.0
241,-267,8502.0
8,295,8502.0
-221,153,8502.0
228,-187,8424.0
-104,235,8424.0
-172,253,8424.0
35,-137,8424.0
268,-128,8424.0
-171,253,8424.0
256,-97,8424.0
283,-76,8424.0
-219,-114,8424.0
-297,326,8424.0
214,-214,8424.0
222,-337,8424.0
-314,222,8424.0
-174,255,8424.0
-283,13,8424.0
82,165,8424.0
152,-252,8424.0
-255,304,8424.0
104,-234,8424.0
53,44,8424.0
281,-167,8424.0
327,-125,8424.0
92,-294,8424.0
-59,264,8424.0
151,-254,8424.0
47,275,8424.0
177,76,8424.0
-101,236,8424.0
74,-77,8424.0
-238,-17,8424.0
42,-336,8424.0
302,-248,8424.0
-184,323,8424.0
-327,4,8424.0
-327,5,8424.0
330,-66,8424.0
-68,303,8424.0
-138,265,8424.0
-246,63,8424.0
-39,325,8424.0
94,-296,8424.0
-299,325,8424.0
66,-245,8424.0
-136,305,8424.0
151,-255,8424.0
-147,83,8424.0
184,-238,8424.0
57,-305,8424.0
-124,-185,8424.0
27,-5,8424.0
134,-117,8424.0
-316,226,8424.0
-338,85,8424.0
-259,306,8424.0
229,53,8424.0
-102,233,8424.0
-7,64,8346.0
-219,266,8346.0
143,-317,8346.0
115,-277,8346.0
132,-115,8346.0
-94,-157,8346.0
186,-237,8346.0
-8,65,8346.0
59,-305,8346.0
-218,3,8346.0
48,273,8346.0
-217,-117,8346.0
-21,-87,8346.0
-317,263,8346.0
212,-217,8346.0
