"(X,Y)",Moon Points
"(1, 120)",7
"(-126, 290)",7
"(238, -281)",7
"(-130, 101)",7
"(-41, -200)",7
"(-225, 289)",7
"(45, -49)",7
"(26, -110)",7
"(54, 11)",7
"(116, 129)",7
"(20, 201)",7
"(-139, -121)",7
"(95, -271)",7
"(314, -249)",7
"(249, -180)",7
"(20, 79)",7
"(-310, -21)",7
"(-213, -60)",7
"(91, 200)",7
"(-40, -1)",7
"(300, -141)",7
"(-126, -209)",7
"(297, -37)",7
"(110, -19)",7
"(-76, 331)",7
"(-165, 269)",7
"(55, -307)",7
"(68, 79)",7
"(166, -250)",7
"(-316, 51)",7
"(310, 19)",7
"(-337, 229)",7
"(161, -321)",7
"(-246, 10)",7
"(-220, -113)",7
"(259, -20)",7
"(69, 60)",7
"(-39, 119)",7
"(-1, 21)",7
"(-224, 209)",7
"(204, 30)",7
"(-69, 100)",7
"(-91, -20)",7
"(-265, 151)",7
"(-14, -71)",7
"(-319, 220)",7
"(-111, 61)",7
"(121, -80)",7
"(10, -19)",7
"(-227, -30)",6
"(-294, -44)",6
"(-75, 17)",6
"(239, -280)",6
"(110, -319)",6
"(-49, -221)",6
"(11, 219)",6
"(178, -280)",6
"(240, -282)",6
"(-210, -81)",6
"(62, -87)",6
"(255, -109)",6
"(108, -318)",6
"(-63, 50)",6
"(286, -74)",6
"(101, 0)",6
"(205, 71)",6
"(15, 49)",6
"(-64, 49)",6
"(-134, 302)",6
"(-48, -220)",6
"(-112, 282)",6
"(-265, 228)",6
"(-26, -89)",6
"(116, 149)",6
"(118, -98)",6
"(275, -52)",6
"(287, 40)",6
"(61, -260)",6
"(-40, 78)",6
"(5, 89)",6
"(-36, -277)",6
"(117, 150)",6
"(-230, 261)",6
"(327, -127)",6
"(-219, -70)",6
"(-89, -1)",6
"(89, 180)",6
"(-296, 71)",6
"(-202, -121)",6
"(120, -99)",6
"(179, -279)",6
"(-310, 179)",6
"(7, 88)",6
"(-27, -90)",6
"(247, 28)",6
"(-269, 60)",6
"(31, -227)",6
"(-152, 300)",6
"(-282, 182)",6
"(-88, 0)",6
"(-83, 303)",6
"(-232, 262)",6
"(-151, 301)",6
"(46, 277)",6
"(100, 2)",6
"(-41, 80)",6
"(274, -50)",6
"(-80, 282)",6
"(-60, 282)",6
"(11, 290)",6
"(245, 29)",6
"(253, -108)",6
"(90, 178)",6
"(203, 72)",6
"(-9, -220)",6
"(-135, -132)",6
"(65, -48)",6
"(-17, -48)",6
"(28, -18)",6
"(-11, -20)",6
"(-306, 55)",6
"(-208, -82)",6
"(239, -200)",6
"(-72, 2)",6
"(-294, 322)",6
"(-226, -29)",6
"(-64, 70)",6
"(103, 8)",6
"(-220, -68)",6
"(-59, 280)",6
"(-270, 62)",6
"(60, -258)",6
"(-218, -70)",6
"(219, -284)",6
"(11, 19)",6
"(-70, 1)",6
"(37, -70)",6
"(16, -51)",6
"(17, 48)",6
"(-25, -83)",6
"(-10, -218)",6
"(-266, 230)",6
"(-109, -181)",6
"(-79, 280)",6
"(240, -202)",6
"(-10, -22)",6
"(-28, 20)",6
"(12, 20)",6
"(-1, 0)",6
"(71, -1)",6
"(-308, 178)",6
"(17, -50)",6
"(66, -50)",6
"(-29, 19)",6
"(157, -297)",6
"(-65, 72)",6
"(72, 0)",6
"(294, -149)",6
"(-297, 70)",6
"(-15, -49)",6
"(12, 220)",6
"(-108, -180)",6
"(36, -71)",6
"(-9, 65)",6
"(0, -2)",6
"(-168, 250)",6
"(-280, 181)",6
"(310, -146)",6
"(-318, 130)",6
"(106, -240)",6
"(293, -150)",6
"(30, -19)",6
"(-136, -130)",6
"(38, 183)",5
"(-339, 230)",5
"(-94, 327)",5
"(-96, 327)",5
"(167, -238)",5
"(-309, 177)",5
"(-125, -183)",5
"(-303, 3)",5
"(-9, -21)",5
"(-15, 312)",5
"(292, -148)",5
"(-37, 8)",5
"(241, -281)",5
"(22, -246)",5
"(-30, -233)",5
"(169, 137)",5
"(-310, 178)",5
"(-225, -31)",5
"(209, -323)",5
"(-62, -194)",5
"(-39, 79)",5
"(5, 88)",5
"(-287, 228)",5
"(235, -143)",5
"(91, 178)",5
"(30, -18)",5
"(168, 138)",5
"(-42, -201)",5
"(-39, 118)",5
"(-43, -200)",5
"(197, -260)",5
"(-164, -173)",5
"(-45, 57)",5
"(119, -100)",5
"(257, -140)",5
"(-261, 284)",5
"(-126, -208)",5
"(-73, 227)",5
"(-262, -81)",5
"(-166, 269)",5
"(-34, 247)",5
"(-48, -279)",5
"(-109, 82)",5
"(-92, -19)",5
"(-96, 328)",5
"(124, 193)",5
"(-329, 5)",5
"(52, 13)",5
"(169, 139)",5
"(333, -262)",5
"(333, -264)",5
"(-62, 48)",5
"(-35, 248)",5
"(161, -322)",5
"(-92, -21)",5
"(-93, -20)",5
"(170, 137)",5
"(15, 48)",5
"(-63, 48)",5
"(-66, 71)",5
"(-212, -59)",5
"(-226, -64)",5
"(-43, -57)",5
"(-315, 332)",5
"(59, -259)",5
"(-72, 278)",5
"(207, -318)",5
"(-112, 6)",5
"(91, 179)",5
"(38, -72)",5
"(-66, 72)",5
"(-261, 283)",5
"(32, 272)",5
"(-322, 89)",5
"(297, -36)",5
"(12, 218)",5
"(16, 50)",5
"(328, -260)",5
"(83, 196)",5
"(92, 199)",5
"(124, 194)",5
"(6, 295)",5
"(89, -143)",5
"(88, -138)",5
"(-81, 282)",5
"(-92, -58)",5
"(57, -308)",5
"(87, -138)",5
"(-63, 70)",5
"(-28, -88)",5
"(-78, -26)",5
"(-150, 299)",5
"(37, 271)",5
"(-63, 71)",5
"(-285, 227)",5
"(-27, -88)",5
"(309, 19)",5
"(-127, 291)",5
"(-50, -219)",5
"(-144, 291)",5
"(-224, 208)",5
"(-177, -152)",5
"(-261, -77)",5
"(19, 79)",5
"(-73, -30)",5
"(-226, -31)",5
"(-32, -250)",5
"(73, 76)",5
"(-3, 23)",5
"(-286, 229)",5
"(236, -144)",5
"(-273, 163)",5
"(256, -100)",5
"(-134, -131)",5
"(-18, -270)",5
"(-245, 53)",5
"(204, 70)",5
"(203, 71)",5
"(-198, -28)",5
"(5, 297)",5
"(-198, 274)",5
"(-244, 51)",5
"(-198, 273)",5
"(-336, 233)",5
"(326, -125)",5
"(187, 123)",5
"(-123, 49)",5
"(299, -38)",5
"(-58, 280)",5
"(64, -88)",5
"(22, -122)",5
"(-79, 125)",5
"(110, -273)",5
"(255, -108)",5
"(-63, 122)",5
"(-316, 34)",5
"(314, -248)",5
"(17, -52)",5
"(-325, 133)",5
"(-137, -131)",5
"(-128, -207)",5
"(-111, -14)",5
"(122, -81)",5
"(-122, 50)",5
"(-268, 60)",5
"(-268, 61)",5
"(-210, -82)",5
"(-145, 293)",5
"(-211, -57)",5
"(-208, -81)",5
"(-81, 281)",5
"(-209, -80)",5
"(1, -1)",5
"(102, 148)",4
"(22, -32)",4
"(-163, -122)",4
"(103, 148)",4
"(-203, -82)",4
"(-143, -162)",4
"(-100, -45)",4
"(232, -230)",4
"(136, 115)",4
"(77, -102)",4
"(-225, 45)",4
"(26, 245)",4
"(87, -60)",4
"(202, 48)",4
"(-225, 44)",4
"(13, -32)",4
"(-261, -24)",4
"(52, -330)",4
"(18, -341)",4
"(57, -237)",4
"(2, -32)",4
"(-105, 325)",4
"(135, -255)",4
"(-35, -175)",4
"(-55, -155)",4
"(67, 98)",4
"(342, -232)",4
"(20, -285)",4
"(107, 58)",4
"(185, -95)",4
"(-211, -56)",4
"(-53, -220)",4
"(66, 80)",4
"(-237, 106)",4
"(27, 18)",4
"(-2, 276)",4
"(62, -86)",4
"(198, -162)",4
"(278, -341)",4
"(-38, -232)",4
"(-237, 6)",4
"(140, 35)",4
"(232, -232)",4
"(-267, 206)",4
"(50, -145)",4
"(33, -4)",4
"(-200, 175)",4
"(-39, 325)",4
"(-145, 104)",4
"(145, -15)",4
"(63, -174)",4
"(238, -184)",4
"(-103, 38)",4
"(184, 66)",4
"(238, -182)",4
"(64, -174)",4
"(92, 68)",4
"(110, 215)",4
"(-132, 296)",4
"(-312, 118)",4
"(-143, 258)",4
"(-341, 44)",4
"(135, 25)",4
"(-341, 45)",4
"(147, 178)",4
"(-157, -172)",4
"(273, -252)",4
"(-318, 48)",4
"(190, 135)",4
"(182, 68)",4
"(50, -345)",4
"(-175, -115)",4
"(-296, -44)",4
"(-37, -34)",4
"(-145, 105)",4
"(-27, -314)",4
"(-157, 86)",4
"(9, 316)",4
"(-257, 276)",4
"(232, -207)",4
"(-35, -36)",4
"(232, 68)",4
"(78, 96)",4
"(182, -237)",4
"(-176, -114)",4
"(-15, 145)",4
"(-63, 220)",4
"(265, -315)",4
"(-58, 68)",4
"(220, -65)",4
"(232, -170)",4
"(-261, -80)",4
"(-189, 324)",4
"(-287, -54)",4
"(-166, 271)",4
"(50, -285)",4
"(117, -300)",4
"(-73, 38)",4
"(22, -312)",4
"(-3, 198)",4
"(162, -306)",4
"(-48, -52)",4
"(185, -115)",4
"(-23, -77)",4
"(276, -214)",4
"(318, -244)",4
"(47, -100)",4
"(-325, 304)",4
"(-301, 204)",4
"(-73, 40)",4
"(-325, 305)",4
"(258, -21)",4
"(318, -264)",4
"(-218, 128)",4
"(28, 6)",4
"(-17, -234)",4
"(-37, 68)",4
"(77, -302)",4
"(237, -160)",4
"(23, -312)",4
"(147, -82)",4
"(75, -295)",4
"(185, -116)",4
"(135, -275)",4
"(-77, -194)",4
"(-342, 218)",4
"(-103, -200)",4
"(-325, 265)",4
"(-288, 288)",4
"(-28, -6)",4
"(-288, 290)",4
"(-48, -222)",4
"(237, -180)",4
"(32, 68)",4
"(19, 81)",4
"(-342, 278)",4
"(210, 54)",4
"(202, -330)",4
"(-87, 28)",4
"(173, -314)",4
"(237, -182)",4
"(-202, -82)",4
"(-37, -214)",4
"(57, 180)",4
"(145, -115)",4
"(-322, 39)",4
"(-107, 86)",4
"(310, 35)",4
"(166, 110)",4
