X,Y,Labor
224,-79,14430.0
-123,-102,14118.0
-121,-102,13806.0
-231,86,13494.0
-258,188,13494.0
224,-77,13416.0
-122,-102,13416.0
-253,198,13338.0
187,-202,13338.0
149,83,13260.0
227,-82,13260.0
226,-80,13182.0
-262,193,13182.0
-259,198,13104.0
-122,-101,13104.0
-122,-107,13104.0
-121,-107,13104.0
-1,-187,13104.0
184,-197,13026.0
-260,189,13026.0
-233,78,13026.0
-234,89,12948.0
223,-76,12948.0
225,-78,12948.0
54,187,12948.0
-109,253,12948.0
154,83,12948.0
-121,-108,12948.0
-250,181,12948.0
148,84,12948.0
184,-199,12948.0
-122,-106,12948.0
229,-82,12870.0
-126,-99,12870.0
-261,191,12870.0
-1,-189,12870.0
-249,196,12870.0
-110,242,12792.0
1,-187,12792.0
0,-189,12792.0
-2,-186,12792.0
-111,243,12792.0
-111,253,12792.0
-112,254,12792.0
53,188,12792.0
-227,84,12792.0
14,-197,12792.0
-252,197,12792.0
-232,84,12792.0
-121,-100,12792.0
183,-196,12714.0
152,88,12714.0
225,-81,12714.0
144,83,12714.0
-114,255,12636.0
154,82,12636.0
-2,-187,12636.0
-232,87,12636.0
-230,84,12636.0
1,-184,12558.0
0,-191,12558.0
-265,191,12558.0
-106,243,12558.0
189,-200,12558.0
-262,194,12558.0
-261,189,12558.0
-126,-96,12558.0
235,-88,12558.0
-249,193,12558.0
235,-80,12480.0
-112,253,12480.0
142,90,12480.0
223,-77,12480.0
156,83,12480.0
54,185,12480.0
188,-206,12480.0
189,-207,12480.0
-261,188,12402.0
188,-199,12402.0
-104,243,12402.0
-234,80,12402.0
-251,198,12402.0
-230,78,12402.0
3,-186,12402.0
-111,251,12402.0
150,82,12324.0
-114,256,12324.0
-113,255,12324.0
150,81,12324.0
185,-201,12324.0
188,-207,12324.0
142,88,12324.0
-229,85,12324.0
174,-197,12324.0
-259,193,12324.0
-124,-105,12324.0
189,-208,12324.0
140,90,12324.0
-251,193,12324.0
-235,89,12324.0
153,84,12324.0
154,88,12246.0
223,-79,12246.0
-256,190,12246.0
-261,193,12246.0
226,-79,12246.0
186,-202,12246.0
-256,188,12246.0
-125,-101,12246.0
228,-76,12246.0
228,-82,12246.0
-120,-102,12246.0
233,-86,12246.0
-227,83,12168.0
59,181,12168.0
55,186,12168.0
54,186,12168.0
54,189,12168.0
4,-197,12168.0
13,-197,12168.0
-226,83,12168.0
13,-196,12168.0
-3,-191,12168.0
146,83,12168.0
-121,-103,12168.0
-234,83,12168.0
14,-199,12168.0
-123,-101,12168.0
227,-81,12090.0
54,183,12090.0
148,88,12090.0
-254,194,12090.0
-231,85,12090.0
-259,190,12090.0
-231,78,12090.0
1,-185,12090.0
145,85,12090.0
38,191,12090.0
-111,250,12090.0
144,88,12090.0
-263,192,12090.0
-121,-109,12090.0
37,191,12090.0
-254,186,12090.0
36,190,12090.0
143,83,12090.0
44,188,12090.0
-257,191,12090.0
174,-196,12090.0
-2,-189,12090.0
144,90,12012.0
149,84,12012.0
142,91,12012.0
-226,81,12012.0
-232,78,12012.0
-251,196,12012.0
228,-86,12012.0
58,180,12012.0
3,-196,12012.0
-252,184,12012.0
139,91,12012.0
-231,84,11934.0
-108,248,11934.0
56,183,11934.0
143,84,11934.0
-250,198,11934.0
186,-197,11934.0
183,-197,11934.0
-262,191,11934.0
12,-192,11934.0
-233,79,11934.0
2,-183,11934.0
13,-193,11934.0
8,-198,11934.0
153,88,11934.0
-259,199,11934.0
13,-195,11934.0
-258,199,11934.0
-255,188,11934.0
237,-79,11934.0
177,-194,11856.0
-126,-106,11856.0
-252,186,11856.0
188,-202,11856.0
-235,88,11856.0
11,-187,11856.0
-232,86,11856.0
52,184,11856.0
234,-79,11856.0
48,182,11856.0
9,-185,11856.0
234,-87,11856.0
-233,89,11856.0
233,-88,11856.0
-258,187,11856.0
149,86,11856.0
-5,-189,11856.0
226,-77,11856.0
