"(X,Y)",Moon Points
"(-204, 10)",7
"(-174, 110)",7
"(76, 130)",7
"(185, -89)",7
"(-309, 200)",7
"(-265, -29)",7
"(26, 150)",7
"(105, -209)",7
"(220, -139)",7
"(-191, 164)",7
"(100, -279)",7
"(61, 80)",7
"(305, -269)",7
"(-164, 30)",7
"(-14, 329)",7
"(-139, 300)",7
"(131, 40)",7
"(-149, 240)",7
"(-50, -279)",7
"(85, -309)",7
"(-299, 260)",7
"(-150, -99)",7
"(-234, 50)",7
"(35, -169)",7
"(-255, 11)",7
"(161, 120)",7
"(-230, -99)",7
"(-229, 200)",7
"(255, -109)",7
"(270, 41)",7
"(210, -39)",7
"(184, 34)",7
"(-30, -259)",7
"(290, -319)",7
"(-116, 314)",7
"(159, -96)",7
"(270, -19)",7
"(-214, 270)",7
"(315, -9)",7
"(211, 80)",7
"(-70, -119)",7
"(295, -169)",7
"(260, -199)",7
"(141, 60)",7
"(304, -206)",7
"(-315, -9)",7
"(5, -309)",7
"(-114, 170)",7
"(-5, -129)",7
"(-289, 320)",7
"(-91, 304)",7
"(230, -299)",7
"(-15, -209)",7
"(120, -159)",7
"(-34, 270)",7
"(-179, 180)",7
"(-249, 120)",7
"(-39, 160)",7
"(325, -149)",7
"(-156, -6)",7
"(150, -119)",7
"(19, 264)",7
"(-261, 304)",7
"(141, 85)",6
"(44, -266)",6
"(-75, 168)",6
"(85, -172)",6
"(170, -101)",6
"(-143, -100)",6
"(-148, 118)",6
"(-155, 8)",6
"(150, -102)",6
"(205, 45)",6
"(159, -100)",6
"(25, 108)",6
"(13, 110)",6
"(-160, -2)",6
"(-69, -201)",6
"(79, -160)",6
"(140, -78)",6
"(-45, -112)",6
"(-135, 109)",6
"(-145, 109)",6
"(-225, 88)",6
"(-51, -100)",6
"(179, 1)",6
"(-181, 164)",6
"(167, -92)",6
"(-143, 108)",6
"(-130, 99)",6
"(38, 100)",6
"(90, -158)",6
"(14, 111)",6
"(12, 118)",6
"(-133, 263)",6
"(-154, 110)",6
"(-165, -12)",6
"(51, -261)",6
"(175, -12)",6
"(-59, -101)",6
"(160, -102)",6
"(-76, 170)",6
"(30, 98)",6
"(84, -149)",6
"(-147, -8)",6
"(-80, 162)",6
"(150, -82)",6
"(96, -170)",6
"(160, -79)",6
"(165, -11)",6
"(-67, -90)",6
"(91, -160)",6
"(-109, 299)",6
"(284, -86)",6
"(10, 119)",6
"(141, -80)",6
"(-65, 169)",6
"(-133, 108)",6
"(29, 100)",6
"(-37, -108)",6
"(65, -151)",6
"(-56, -90)",6
"(68, -160)",6
"(36, 110)",6
"(-148, -86)",6
"(-66, -89)",6
"(-161, 0)",6
"(83, -150)",6
"(-175, 12)",6
"(-170, -2)",6
"(183, -8)",6
"(185, -9)",6
"(69, -159)",6
"(-140, 119)",6
"(-85, 169)",6
"(-148, 98)",6
"(-139, 99)",6
"(-159, 120)",6
"(172, -102)",6
"(170, -2)",6
"(84, -170)",6
"(177, 8)",6
"(-63, 168)",6
"(-138, 100)",6
"(-128, 98)",6
"(54, -266)",6
"(74, -150)",6
"(189, -156)",6
"(-41, -100)",6
"(-151, 0)",6
"(80, -162)",6
"(-65, 148)",6
"(-155, 112)",6
"(145, -88)",6
"(75, -152)",6
"(165, 8)",6
"(154, -90)",6
"(-150, 99)",6
"(-66, -206)",6
"(-58, -100)",6
"(149, -100)",6
"(296, -71)",6
"(-160, 122)",6
"(149, -80)",6
"(39, 101)",6
"(178, 0)",6
"(-232, 84)",6
"(-145, -9)",6
"(-46, -110)",6
"(212, -70)",6
"(55, -275)",6
"(-70, 158)",6
"(-35, -109)",6
"(-171, 0)",6
"(164, 10)",6
"(67, -152)",6
"(20, 102)",6
"(-226, -46)",6
"(-156, -10)",6
"(-138, 118)",6
"(-55, -108)",6
"(-77, 150)",6
"(-62, 160)",6
"(-71, 160)",6
"(-155, -12)",6
"(241, -87)",6
"(-166, -10)",6
"(-79, 160)",6
"(223, -91)",6
"(-50, -102)",6
"(-147, -88)",6
"(19, 120)",6
"(174, -10)",6
"(162, 0)",6
"(-47, -111)",6
"(-44, -91)",6
"(-150, -2)",6
"(35, 105)",6
"(-166, 10)",6
"(-66, 150)",6
"(-76, 151)",6
"(-54, 150)",6
"(154, -86)",6
"(-150, 119)",6
"(35, 112)",6
"(156, 10)",6
"(32, 118)",6
"(20, 118)",6
"(-194, 169)",6
"(167, -12)",6
"(-174, 10)",6
"(155, 12)",6
"(158, -78)",6
"(95, -168)",6
"(-156, 10)",6
"(24, 110)",6
"(24, 274)",6
"(21, 100)",6
"(-55, -92)",6
"(146, -90)",6
"(77, -172)",6
"(-43, -90)",6
"(-40, -102)",6
"(-54, -110)",6
"(-165, 8)",6
"(161, -1)",6
"(30, 119)",6
"(-83, 168)",6
"(196, -251)",6
"(169, 0)",6
"(-111, 304)",6
"(75, -171)",6
"(170, -245)",6
"(175, 9)",6
"(-61, 161)",6
"(59, -276)",6
"(-55, 152)",6
"(165, -91)",6
"(11, -184)",6
"(203, 108)",6
"(155, -92)",6
"(-160, -5)",6
"(161, -101)",5
"(-45, -207)",5
"(86, -171)",5
"(-65, -246)",5
"(19, 104)",5
"(-157, 9)",5
"(-256, 294)",5
"(185, 35)",5
"(-114, 256)",5
"(-155, -7)",5
"(75, -172)",5
"(-46, -206)",5
"(49, -276)",5
"(-173, 109)",5
"(160, 1)",5
"(289, -76)",5
"(-216, -46)",5
"(164, -6)",5
"(-221, 163)",5
"(156, -91)",5
"(-196, 154)",5
"(-61, -96)",5
"(-292, 288)",5
"(-105, 153)",5
"(-151, 84)",5
"(-60, -99)",5
"(-70, -257)",5
"(165, -247)",5
"(-60, -97)",5
"(20, 105)",5
"(-198, -102)",5
"(307, -260)",5
"(244, -92)",5
"(-176, 154)",5
"(39, -276)",5
"(-151, 83)",5
"(185, 33)",5
"(-149, 82)",5
"(-260, -57)",5
"(60, -275)",5
"(-154, -11)",5
"(50, -275)",5
"(-60, 155)",5
"(-170, -77)",5
"(169, -256)",5
"(-225, -47)",5
"(-300, 55)",5
"(-66, -246)",5
"(-64, -248)",5
"(155, -85)",5
"(-223, 240)",5
"(-295, 53)",5
"(12, 112)",5
"(170, -257)",5
"(295, -85)",5
"(-65, 213)",5
"(-159, -1)",5
"(-155, -5)",5
"(-311, 64)",5
"(294, -86)",5
"(-127, -106)",5
"(-300, 65)",5
"(131, 202)",5
"(186, -89)",5
"(-72, 160)",5
"(-52, -100)",5
"(-46, -106)",5
"(-45, -107)",5
"(160, 3)",5
"(204, 34)",5
"(145, -167)",5
"(180, -155)",5
"(-123, -192)",5
"(36, -169)",5
"(5, 275)",5
"(163, 10)",5
"(-242, 82)",5
"(169, 4)",5
"(170, 3)",5
"(-124, -188)",5
"(173, -10)",5
"(136, 95)",5
"(149, -96)",5
"(-45, -95)",5
"(-80, -97)",5
"(129, 204)",5
"(271, -19)",5
"(179, 44)",5
"(-136, 213)",5
"(29, 264)",5
"(97, -170)",5
"(85, -151)",5
"(285, -85)",5
"(-67, -88)",5
"(-64, -211)",5
"(-60, -95)",5
"(-298, 259)",5
"(-44, -111)",5
"(92, -160)",5
"(160, -95)",5
"(160, -97)",5
"(-65, -205)",5
"(180, 43)",5
"(20, 265)",5
"(305, -207)",5
"(305, -205)",5
"(-149, 120)",5
"(221, 62)",5
"(295, -205)",5
"(-164, -11)",5
"(30, 265)",5
"(160, -78)",5
"(-287, 98)",5
"(176, -151)",5
"(162, 119)",5
"(190, -155)",5
"(285, -195)",5
"(-115, 313)",5
"(-286, 54)",5
"(24, -226)",5
"(215, -247)",5
"(122, -290)",5
"(-308, 199)",5
"(9, -182)",5
"(-149, -99)",5
"(-259, 62)",5
"(-204, 169)",5
"(-195, 153)",5
"(234, -326)",5
"(-55, -205)",5
"(290, -75)",5
"(-106, 248)",5
"(83, -170)",5
"(52, -190)",5
"(-259, 222)",5
"(-81, 164)",5
"(-180, 165)",5
"(-126, -187)",5
"(-68, -88)",5
"(30, 103)",5
"(-301, 64)",5
"(194, -146)",5
"(34, -266)",5
"(62, 79)",5
"(-229, -99)",5
"(-235, 293)",5
"(-136, 214)",5
"(-50, -95)",5
"(68, -158)",5
"(164, -246)",5
"(-310, 63)",5
"(-185, 153)",5
"(165, -5)",5
"(-115, 315)",5
"(29, 104)",5
"(-201, -56)",5
"(190, 43)",5
"(4, 274)",5
"(-190, 165)",5
"(-190, 163)",5
"(-51, -96)",5
"(-195, 53)",5
"(-81, 161)",5
"(294, -206)",5
"(-90, 305)",5
"(189, 44)",5
"(271, 41)",5
"(73, -150)",5
"(-183, -32)",5
"(-213, 269)",5
"(-56, -206)",5
"(23, 110)",5
"(-99, 319)",5
"(-250, 295)",5
