X,Y,Labor
-103,-82,15600.0
1,196,15054.0
-71,138,15054.0
167,-162,14976.0
1,193,14976.0
5,191,14898.0
64,-232,14664.0
159,-162,14586.0
-17,-30,14586.0
-68,148,14508.0
-71,151,14508.0
174,21,14430.0
3,194,14352.0
62,-232,14352.0
160,-162,14352.0
172,19,14352.0
-21,-167,14274.0
-19,-27,14274.0
-22,-26,14274.0
-108,-72,14196.0
-2,194,14196.0
61,-227,14196.0
65,-232,14196.0
65,-229,14118.0
169,-162,14118.0
173,21,14118.0
2,188,14118.0
163,-166,14118.0
-1,193,14040.0
-114,-77,14040.0
-72,138,14040.0
5,31,14040.0
-42,17,14040.0
-111,-66,14040.0
63,-232,14040.0
-133,78,14040.0
161,-164,13962.0
14,32,13962.0
-22,-166,13962.0
164,-166,13962.0
-21,-27,13962.0
168,-163,13962.0
-17,-32,13962.0
41,86,13884.0
-136,81,13884.0
170,-159,13884.0
174,23,13884.0
39,-94,13884.0
-73,138,13884.0
-139,79,13884.0
-26,-172,13806.0
-106,-79,13806.0
175,17,13806.0
164,-165,13806.0
173,17,13806.0
-139,78,13806.0
-18,-169,13806.0
-21,-168,13806.0
172,22,13806.0
67,-222,13806.0
42,-92,13728.0
42,88,13728.0
-3,198,13728.0
3,192,13728.0
172,17,13728.0
-141,91,13728.0
-176,6,13728.0
39,-97,13728.0
-174,6,13728.0
161,-163,13728.0
38,-96,13650.0
-105,-81,13650.0
-103,-81,13650.0
-2,198,13650.0
37,-7,13650.0
-21,-169,13650.0
3,193,13572.0
37,-8,13572.0
-36,10,13572.0
177,18,13572.0
173,24,13572.0
171,-161,13572.0
-110,-71,13572.0
-19,-167,13572.0
4,191,13572.0
36,-97,13572.0
-3,195,13572.0
-111,-68,13572.0
173,14,13572.0
175,19,13494.0
45,-99,13494.0
66,-231,13494.0
43,-96,13494.0
59,-222,13494.0
-22,-167,13494.0
164,-159,13494.0
44,-99,13494.0
-24,-174,13494.0
174,16,13494.0
168,-162,13494.0
39,-87,13494.0
-17,-168,13494.0
-101,-82,13416.0
-42,18,13416.0
48,94,13416.0
173,23,13416.0
161,-167,13416.0
-181,198,13416.0
-111,-67,13416.0
64,-230,13416.0
109,-22,13416.0
-135,80,13416.0
-18,-25,13338.0
-104,-77,13338.0
44,-97,13338.0
-12,-172,13338.0
-23,-172,13338.0
34,-92,13338.0
-11,-174,13338.0
39,-89,13338.0
-70,149,13338.0
160,-159,13338.0
-25,-172,13338.0
0,198,13338.0
-1,196,13338.0
-24,-171,13338.0
-15,-32,13338.0
65,-230,13338.0
46,-24,13338.0
-108,-71,13260.0
-60,142,13260.0
63,-228,13260.0
-111,-69,13260.0
171,19,13260.0
39,-96,13260.0
39,-88,13260.0
158,-162,13260.0
69,-222,13260.0
-112,-66,13260.0
165,-168,13260.0
-176,8,13260.0
-18,-30,13260.0
7,193,13260.0
7,194,13260.0
159,-167,13260.0
-138,88,13182.0
-111,-82,13182.0
36,-94,13182.0
-106,-77,13182.0
-41,17,13182.0
-28,-172,13182.0
-109,-76,13182.0
74,-225,13182.0
-26,-12,13182.0
38,-98,13182.0
-131,78,13182.0
-106,-72,13182.0
179,11,13182.0
-107,-76,13182.0
-116,-77,13182.0
-70,138,13182.0
-6,200,13182.0
183,14,13104.0
-143,85,13104.0
163,-168,13104.0
-3,199,13104.0
-1,202,13104.0
63,-234,13104.0
16,30,13104.0
36,-4,13104.0
-71,153,13104.0
122,-32,13104.0
-71,137,13104.0
159,-163,13104.0
41,87,13104.0
-4,195,13104.0
5,30,13104.0
168,-166,13104.0
-102,-82,13104.0
-173,198,13104.0
176,20,13104.0
7,192,13104.0
63,-226,13104.0
-4,196,13104.0
-111,-74,13104.0
-37,6,13104.0
-13,-171,13026.0
168,-158,13026.0
43,-97,13026.0
167,-163,13026.0
-1,191,13026.0
-24,-177,13026.0
-42,16,13026.0
41,-94,13026.0
36,83,13026.0
-66,148,13026.0
-172,4,13026.0
-106,-78,13026.0
161,-161,13026.0
-24,-166,13026.0
64,-219,13026.0
13,32,13026.0
-116,-72,13026.0
-108,-81,13026.0
-166,1,13026.0
39,-95,13026.0
-19,-24,13026.0
179,18,13026.0
181,8,13026.0
-135,92,13026.0
110,-22,13026.0
-135,79,13026.0
-175,199,12948.0
168,16,12948.0
-132,78,12948.0
4,188,12948.0
160,-161,12948.0
169,-167,12948.0
-112,-76,12948.0
-2,193,12948.0
-35,9,12948.0
-73,149,12948.0
174,-164,12948.0
-69,148,12948.0
-4,200,12948.0
171,13,12948.0
70,-222,12948.0
44,81,12948.0
-137,88,12948.0
-106,-81,12948.0
39,86,12948.0
185,11,12948.0
64,-222,12948.0
173,-166,12948.0
40,87,12948.0
-26,-174,12870.0
-175,8,12870.0
47,93,12870.0
-26,-173,12870.0
14,31,12870.0
47,-86,12870.0
-67,148,12870.0
169,18,12870.0
-27,-172,12870.0
-117,-76,12870.0
178,19,12870.0
65,-222,12870.0
-141,80,12870.0
44,82,12870.0
-15,-33,12870.0
107,-22,12870.0
-1,197,12870.0
170,-162,12870.0
-23,-171,12870.0
-25,-169,12870.0
-66,147,12870.0
41,85,12792.0
-111,-80,12792.0
40,-91,12792.0
-136,76,12792.0
36,-5,12792.0
-176,201,12792.0
-115,-69,12792.0
-137,86,12792.0
-181,211,12792.0
-175,208,12792.0
62,-231,12792.0
4,194,12792.0
-28,-12,12792.0
-178,199,12792.0
39,-100,12792.0
-3,200,12792.0
158,-166,12792.0
