X,Y,Labor
-105,211,16614.0
-150,1,15522.0
80,-159,15210.0
-105,210,15054.0
-104,209,14898.0
-170,1,14820.0
-106,213,14820.0
200,1,14742.0
-76,1,14742.0
-110,221,14664.0
-229,-1,14586.0
-230,0,14430.0
-82,164,14352.0
-107,214,14352.0
45,-89,14196.0
-106,214,14196.0
134,1,14196.0
159,-1,14118.0
-106,216,14118.0
-176,3,14118.0
-236,3,14040.0
-106,210,13962.0
81,-161,13962.0
-107,216,13962.0
45,-92,13962.0
-150,2,13884.0
70,1,13806.0
-86,1,13806.0
239,0,13806.0
-103,209,13806.0
80,-160,13806.0
-110,218,13806.0
79,-160,13806.0
234,1,13728.0
-226,1,13728.0
84,1,13728.0
-87,174,13650.0
-149,-1,13650.0
-106,215,13650.0
41,-87,13650.0
-176,1,13650.0
204,1,13650.0
-228,-1,13650.0
237,-2,13650.0
220,1,13650.0
159,0,13650.0
49,-100,13572.0
-61,120,13572.0
-61,118,13572.0
-236,1,13572.0
-221,0,13572.0
239,-2,13572.0
30,-59,13572.0
105,-209,13572.0
-105,208,13572.0
-136,1,13572.0
-79,-1,13572.0
159,-2,13494.0
-150,0,13494.0
194,1,13494.0
64,1,13494.0
157,-2,13494.0
-104,206,13494.0
-59,119,13494.0
-58,119,13494.0
-106,208,13494.0
-84,163,13494.0
184,1,13494.0
-84,166,13494.0
-231,0,13416.0
-82,2,13416.0
-59,116,13416.0
-107,217,13416.0
-230,2,13416.0
240,-2,13416.0
-170,0,13416.0
74,3,13416.0
83,-166,13416.0
-57,114,13416.0
-49,93,13338.0
-230,-2,13338.0
-52,104,13338.0
-102,204,13338.0
211,-1,13338.0
128,2,13338.0
-233,-2,13338.0
-81,160,13260.0
-50,101,13260.0
93,-186,13260.0
-82,162,13260.0
-59,113,13260.0
-61,-1,13260.0
-223,-2,13260.0
48,-96,13260.0
-78,-1,13260.0
-109,221,13260.0
-76,149,13260.0
-80,0,13260.0
69,-140,13260.0
-237,4,13260.0
-219,-1,13260.0
78,2,13260.0
-159,-2,13260.0
-140,0,13260.0
-169,-1,13260.0
82,-158,13182.0
-80,158,13182.0
-90,178,13182.0
-85,168,13182.0
-146,1,13182.0
-177,4,13182.0
-46,88,13182.0
-172,2,13182.0
79,-162,13182.0
-60,120,13182.0
-60,118,13182.0
-100,1,13182.0
-62,118,13182.0
81,-1,13182.0
80,0,13182.0
-91,178,13182.0
238,2,13182.0
-79,159,13104.0
217,-2,13104.0
133,2,13104.0
-66,1,13104.0
-89,178,13104.0
-156,1,13104.0
51,-104,13104.0
-88,173,13104.0
132,2,13104.0
-77,2,13104.0
244,1,13104.0
-159,-1,13104.0
-220,-2,13104.0
238,-2,13104.0
80,-162,13104.0
-103,212,13104.0
-141,0,13104.0
160,1,13104.0
-177,3,13026.0
51,-101,13026.0
-170,-2,13026.0
106,-217,13026.0
121,-1,13026.0
-177,2,13026.0
78,-161,13026.0
74,-156,13026.0
-48,88,13026.0
-61,0,13026.0
212,-1,13026.0
109,-220,13026.0
-111,220,13026.0
-151,0,13026.0
-47,88,13026.0
-102,212,13026.0
230,1,13026.0
197,-2,13026.0
160,-2,13026.0
-56,110,13026.0
42,-87,13026.0
-148,-1,13026.0
82,-1,13026.0
44,-92,13026.0
94,-190,13026.0
-237,3,12948.0
78,-156,12948.0
-75,1,12948.0
154,1,12948.0
-109,219,12948.0
-61,-2,12948.0
49,-102,12948.0
-240,2,12948.0
73,4,12948.0
-81,0,12948.0
-220,0,12948.0
-96,1,12948.0
240,0,12948.0
-237,2,12948.0
-45,88,12948.0
-225,-1,12948.0
-235,0,12948.0
-160,-2,12948.0
-110,220,12948.0
-112,224,12948.0
-107,212,12948.0
-150,-2,12948.0
48,-93,12948.0
71,-1,12870.0
104,-212,12870.0
-86,168,12870.0
200,0,12870.0
49,-94,12870.0
-89,176,12870.0
-226,3,12870.0
-136,3,12870.0
158,-2,12870.0
-216,1,12870.0
74,1,12870.0
-89,173,12870.0
-73,-2,12870.0
199,0,12870.0
-174,3,12870.0
82,-161,12870.0
43,-93,12870.0
-86,176,12870.0
-107,206,12870.0
-54,108,12870.0
-236,4,12792.0
-85,165,12792.0
236,0,12792.0
83,1,12792.0
179,0,12792.0
199,-2,12792.0
119,-1,12792.0
83,2,12792.0
81,-167,12792.0
75,3,12792.0
-40,78,12792.0
-46,93,12792.0
-61,117,12792.0
50,-102,12792.0
76,3,12792.0
-39,79,12792.0
46,-91,12792.0
108,-216,12792.0
-72,144,12792.0
70,-140,12792.0
45,-90,12792.0
249,0,12792.0
-169,1,12792.0
78,-162,12714.0
198,2,12714.0
-57,117,12714.0
98,-196,12714.0
-145,1,12714.0
49,-105,12714.0
216,-3,12714.0
-90,181,12714.0
44,-90,12714.0
-95,188,12714.0
59,0,12714.0
52,-101,12714.0
214,1,12714.0
68,-142,12714.0
-87,172,12714.0
-126,1,12714.0
50,-100,12714.0
53,-106,12714.0
48,-104,12714.0
66,-137,12714.0
180,0,12714.0
220,-2,12714.0
-54,109,12714.0
-46,90,12714.0
134,3,12714.0
-83,2,12714.0
93,-188,12714.0
83,4,12636.0
-221,-2,12636.0
-78,159,12636.0
-81,-2,12636.0
-105,217,12636.0
-105,213,12636.0
-147,-3,12636.0
-83,-2,12636.0
84,3,12636.0
154,3,12636.0
-160,0,12636.0
120,-239,12636.0
-107,208,12636.0
-77,154,12636.0
129,0,12636.0
130,0,12636.0
-138,-1,12636.0
-130,0,12636.0
-107,207,12636.0
-47,92,12636.0
83,3,12636.0
-158,-1,12636.0
-86,3,12636.0
-80,160,12636.0
-87,166,12636.0
229,-2,12636.0
-52,105,12636.0
69,-142,12636.0
82,2,12636.0
241,-1,12636.0
99,-201,12636.0
-120,1,12636.0
200,-2,12636.0
86,-177,12558.0
103,-208,12558.0
-232,2,12558.0
-63,123,12558.0
-62,-2,12558.0
-171,-2,12558.0
-63,118,12558.0
195,-1,12558.0
-44,83,12558.0
-104,216,12558.0
-104,215,12558.0
-64,123,12558.0
84,-166,12558.0
221,-1,12558.0
-173,-2,12558.0
-231,-2,12558.0
-111,218,12558.0
-45,90,12558.0
-86,170,12558.0
140,-2,12558.0
227,-2,12558.0
220,0,12558.0
169,-2,12558.0
54,-106,12558.0
68,-136,12558.0
43,-92,12558.0
119,-2,12558.0
-227,4,12558.0
-227,3,12558.0
35,-72,12558.0
106,-214,12558.0
135,0,12558.0
122,-1,12558.0
-89,184,12558.0
-89,179,12558.0
-91,179,12558.0
-94,189,12480.0
-47,86,12480.0
-109,213,12480.0
-239,-1,12480.0
91,-187,12480.0
-38,79,12480.0
204,3,12480.0
95,-192,12480.0
207,-2,12480.0
104,-204,12480.0
-102,213,12480.0
-223,0,12480.0
-80,-2,12480.0
104,-210,12480.0
113,-226,12480.0
73,3,12480.0
-86,167,12480.0
84,-170,12480.0
-96,190,12480.0
-41,80,12480.0
-88,182,12480.0
106,-211,12480.0
-160,-1,12480.0
-77,-3,12480.0
56,-106,12480.0
-132,2,12480.0
68,-138,12480.0
170,1,12480.0
83,-170,12480.0
103,-206,12480.0
78,-158,12480.0
70,-142,12480.0
-89,177,12402.0
120,0,12402.0
80,-167,12402.0
-155,1,12402.0
-155,-1,12402.0
244,3,12402.0
167,-2,12402.0
-171,0,12402.0
-56,114,12402.0
-163,-3,12402.0
-55,110,12402.0
210,0,12402.0
-92,184,12402.0
-81,164,12402.0
-81,158,12402.0
246,0,12402.0
67,-142,12402.0
38,-82,12402.0
-87,2,12402.0
-90,1,12402.0
49,-103,12402.0
-76,3,12402.0
43,-86,12402.0
-109,216,12402.0
109,-222,12402.0
79,0,12402.0
-153,-2,12402.0
-143,-2,12402.0
-73,-3,12402.0
-101,211,12402.0
-72,136,12402.0
-100,0,12402.0
33,-66,12402.0
51,-107,12402.0
54,-104,12402.0
157,-1,12402.0
-120,-2,12402.0
-224,0,12402.0
229,0,12402.0
124,1,12402.0
-84,3,12402.0
103,-212,12402.0
193,2,12402.0
-84,0,12402.0
235,-1,12324.0
-56,116,12324.0
38,-76,12324.0
-240,0,12324.0
-43,83,12324.0
-75,148,12324.0
143,-3,12324.0
47,-91,12324.0
-145,-1,12324.0
-129,-1,12324.0
-139,-1,12324.0
129,3,12324.0
39,-82,12324.0
-111,224,12324.0
171,-1,12324.0
49,-96,12324.0
-39,81,12324.0
-84,169,12324.0
-227,-3,12324.0
-226,-1,12324.0
-102,207,12324.0
-60,115,12324.0
119,0,12324.0
-101,0,12324.0
-55,112,12324.0
-227,2,12324.0
-71,138,12324.0
-57,106,12324.0
30,-58,12324.0
-218,-1,12324.0
136,0,12324.0
201,-1,12246.0
-44,89,12246.0
191,-1,12246.0
-93,183,12246.0
-84,-3,12246.0
88,-183,12246.0
-116,1,12246.0
70,2,12246.0
-163,-2,12246.0
83,-163,12246.0
111,-222,12246.0
219,-1,12246.0
105,-212,12246.0
-37,74,12246.0
43,-88,12246.0
-135,1,12246.0
155,-1,12246.0
48,-102,12246.0
190,0,12246.0
120,2,12246.0
200,-1,12246.0
178,2,12246.0
70,0,12246.0
203,2,12246.0
78,-163,12246.0
133,3,12246.0
108,-224,12246.0
74,-157,12246.0
192,-1,12246.0
234,3,12246.0
-72,139,12246.0
153,2,12246.0
185,1,12246.0
-63,-2,12246.0
202,2,12246.0
-94,183,12168.0
133,1,12168.0
-232,-2,12168.0
242,-1,12168.0
131,4,12168.0
-238,2,12168.0
-108,208,12168.0
-124,249,12168.0
