7Moon loc,  MF #1 val, MF #1 loc,   MF #2 val, MF #2 loc
(-149,219),  4512.0,   (-144,213),   4512.0,   (-145,213)
(-174,69),   4128.0,   (-170,63),    3840.0,   (-169,63)
(-209,199),  4416.0,   (-205,193),   4224.0,   (-204,193)
(161,-201),  4224.0,   (165,-207),   3936.0,   (162,-205)
(226,-91),   4608.0,   (231,-97),    4512.0,   (230,-97)
(46,169),    3840.0,   (51,163),     3744.0,   (44,175)
(-149,-81),  4320.0,   (-145,-87),   4128.0,   (-144,-87)
(-114,-51),  4416.0,   (-110,-57),   4416.0,   (-109,-57)
(1,-81),     4128.0,   (-3,-76),     4032.0,   (-1,-75)
(-59,-161),  4032.0,   (-55,-167),   3840.0,   (-54,-167)
(-79,199),   4512.0,   (-75,193),    4512.0,   (-74,193)
(-174,129),  4224.0,   (-169,123),   4128.0,   (-170,123)
(221,-141),  4128.0,   (225,-147),   4128.0,   (226,-147)
(36,-191),   3840.0,   (32,-186),    3744.0,   (41,-197)
(201,-161),  4320.0,   (206,-167),   4224.0,   (205,-167)
(-184,-31),  4032.0,   (-192,-28),   3936.0,   (-179,-37)
(-164,149),  4320.0,   (-160,143),   4032.0,   (-159,143)
(66,109),    4224.0,   (71,103),     4128.0,   (70,103)
(96,49),     4416.0,   (101,43),     4128.0,   (100,43)
(161,-61),   4512.0,   (165,-67),    4032.0,   (153,-58)
(141,79),    4320.0,   (146,73),     4224.0,   (145,73)
(-179,39),   4032.0,   (-187,42),    3936.0,   (-174,33)
(-4,109),    4608.0,   (1,103),      4512.0,   (0,103)
(-64,-91),   4224.0,   (-59,-97),    4128.0,   (-60,-97)
(141,-141),  4224.0,   (145,-147),   4224.0,   (146,-147)
(-89,99),    4224.0,   (-85,93),     4032.0,   (-87,92)
(-14,189),   3936.0,   (-9,183),     3840.0,   (-12,184)
(196,-31),   4128.0,   (200,-37),    4032.0,   (192,-26)
